"","id","paper_freq","h_index","name_of_author","total_papers","citation_count","average_citations","country","institute","institute_ID","average_coauthors","connected_countries","connected_institutes","average_h_index_of_coauthors","average_DCM_papers_of_coauthors","author_classification","connections","connections_per_paper","second_order_connections","second_order_connections_per_paper","third_order_connections","third_order_connections_per_paper","betweenness","closeness"
"1","14524979500",5,26,"Huang W.",146,2172,14.8767123287671,"Taiwan","Veterans General Hospital-Taipei",103695753,7.2,1,3,23.6438356164384,5.08219178082192,2,3,0.6,4,0.8,4,0.8,0,1.65562913907285
"2","57154897100",5,30,"Cheng H.",99,2733,27.6060606060606,"Taiwan","School of Medicine",101257099,7.2,1,3,22.6304347826087,5.09782608695652,1,3,0.6,4,0.8,4,0.8,0,1.65562913907285
"3","36454813000",4,12,"Ko C.",21,553,26.3333333333333,"Taiwan","National Yang-Ming University Taiwan",113664035,7.25,1,3,25.8208955223881,5.2089552238806,2,3,0.75,4,1,4,1,0,1.65562913907285
"4","23502223100",6,25,"Wu J.",157,2084,13.2738853503185,"Taiwan","Veterans General Hospital-Taipei",103695753,6.5,1,3,24.1162790697674,4.88372093023256,2,3,0.5,4,0.666666666666667,4,0.666666666666667,0,1.65562913907285
"5","35272027700",16,33,"Iwasaki M.",148,4096,27.6756756756757,"Japan","Osaka Rosai Hospital",60014073,5.375,1,14,35.7008547008547,11.1111111111111,1,16,1,50,3.125,162,10.125,3.24754695152867,3.47826086956522
"6","35271904600",7,14,"Fujimori T.",41,589,14.3658536585366,"Japan","Japan Community Healthcare Organization Osaka Hospital",114306069,9,1,24,31.2888888888889,10.8,2,25,3.57142857142857,129,18.4285714285714,170,24.2857142857143,8.86244050242949,3.48041833939248
"7","26026973800",4,14,"Ishii T.",20,988,49.4,"Japan","National Hospital Organization, Japan",113613372,6.5,1,6,33.25,13.6,2,7,1.75,38,9.5,136,34,0.0705135425869684,3.47732280572898
"8","36192079400",4,11,"Nagamoto Y.",39,308,7.8974358974359,"Japan","Osaka Rosai Hospital",113494060,7,1,4,33,12.6842105263158,2,6,1.5,34,8.5,134,33.5,0.00166666666666667,3.47471087079924
"9","8959871900",16,22,"Sakaura H.",60,1840,30.6666666666667,"Japan","Japan Community Healthcare Organization Osaka Hospital",114306069,5.1875,1,11,34.5194805194805,12.1038961038961,2,12,0.75,47,2.9375,158,9.875,1.36343036521452,3.47804127734796
"10","7403289965",18,76,"Yoshikawa H.",975,25779,26.44,"Japan","Toyonaka Municipal Hospital",106532139,5.27777777777778,1,13,23.144578313253,11.144578313253,0,15,0.833333333333333,48,2.66666666666667,158,8.77777777777778,1.91960570798769,3.47812112585518
