Journal,Year,Authors,Title,Paper Ref,Country
Journal of Neurosurgery: Spine,2014,"Fay L.-Y.

Huang W.-C.

Wu J.-C.

Chang H.-K.

Tsai T.-Y.

Ko C.-C.

Tu T.-H.

Wu C.-L.

Cheng H.",Arthroplasty for cervical spondylotic myelopathy: Similar results to patients with only radiculopathy at 3 years' follow-up.,"Journal of Neurosurgery: Spine. 21 (3) (pp 400-410), 2014. Date of Publication: 01 Sep 2014.",Taiwan
Journal of Neurosurgery: Spine,2014,"Nagamoto Y.

Iwasaki M.

Sugiura T.

Fujimori T.

Matsuo Y.

Kashii M.

Sakaura H.

Ishii T.

Murase T.

Yoshikawa H.

Sugamoto K.",In vivo 3D kinematic changes in the cervical spine after laminoplasty for cervical spondylotic myelopathy.,"Journal of Neurosurgery: Spine. 21 (3) (pp 417-424), 2014. Date of Publication: 01 Sep 2014.",Japan
Journal of International Medical Research,2019,"Zhou C

Liu C

Panchal RR

Ma X

Chen X",Modified expansive laminoplasty and fusion compared with anterior cervical surgeries in treating four-level cervical spondylotic myelopathy.,"Journal of International Medical Research. 47(6):2413-2423, 2019 Jun.",China
Journal of Neurosurgery: Spine,2014,"Sarkar S.

Turel M.K.

Jacob K.S.

Chacko A.G.",The evolution of T2-weighted intramedullary signal changes following ventral decompressive surgery for cervical spondylotic myelopathy.,"Journal of Neurosurgery: Spine. 21 (4) (pp 538-546), 2014. Date of Publication: 01 Oct 2014.",India
Spine,2019,"Shimizu T

Lehman RA Jr

Pongmanee S

Alex Sielatycki J

Leung E

Riew KD

Lenke LG",Prevalence and Predictive Factors of Concurrent Cervical Spinal Cord Compression in Adult Spinal Deformity.,"Spine. 44(15):1049-1056, 2019 Aug 01.",United States
Spine,2019,"Liang G

Liang C

Zheng X

Xiao D

Zeng S

Yin D

Zhan S

Ye J

Liu X

Chang Y",Sagittal Alignment Outcomes in Lordotic Cervical Spine: Does Three-Level Anterior Cervical Discectomy and Fusion Outperform Laminoplasty?.,"Spine. 44(15):E882-E888, 2019 Aug 01.",China
Medicine,2019,"Yang S

Yu Y

Liu X

Zhang Z

Hou T

Xu J

Wu W

Luo F",Clinical and radiological results comparison of allograft and polyetheretherketone cage for one to two-level anterior cervical discectomy and fusion: A CONSORT-compliant article.,"Medicine. 98(45):e17935, 2019 Nov.",China
Clinical Spine Surgery : A Spine Publication,2018,"Gornet MF

McConnell JR

Riew KD

Lanman TH

Burkus JK

Hodges SD

Dryer RF

Copay AG

Schranck FW","Treatment of Cervical Myelopathy: Long-term Outcomes of Arthroplasty for Myelopathy Versus Radiculopathy, And Arthroplasty Versus Arthrodesis for Myelopathy.","Clinical Spine Surgery : A Spine Publication. 31(10):420-427, 2018 12.",United States
Journal of Neurosurgery: Spine,2014,Onda K.  Yoshida Y.  Watanabe K.  Arai H.  Okada H.  Terada T.,C-5 palsy after cervical laminoplasty with instrumented posterior fusion: Clinical article.,"Journal of Neurosurgery: Spine. 20 (1) (pp 1-4), 2014. Date of Publication: January 2014.",Japan
Clinical Spine Surgery : A Spine Publication,2018,"Aleem IS

Currier BL

Yaszemski MJ

Poppendeck H

Huddleston P

Eck J

Rhee J

Bydon M

Freedman B

Nassr A",Do Cervical Spine Surgery Patients Recall Their Preoperative Status?: A Cohort Study of Recall Bias in Patient-reported Outcomes.,"Clinical Spine Surgery : A Spine Publication. 31(10):E481-E487, 2018 12.",United States
Clinical Spine Surgery : A Spine Publication,2018,"Haddas R

Lieberman I

Arakal R

Boah A

Belanger T

Ju K",Effect of Cervical Decompression Surgery on Gait in Adult Cervical Spondylotic Myelopathy Patients.,"Clinical Spine Surgery : A Spine Publication. 31(10):435-440, 2018 12.",United States
,2014,,Cervical spondylosis in South West Nigerian farmers and female traders.,,Nigeria
Arquivos de Neuro-Psiquiatria,2014,"Arantes Junior A.A.

da Silva Junior G.A.

Malheiros J.A.

Goncalves F.F.

Magaldi M.

Santiago E.

Nicolato A.A.

Gusmao S.N.S.",A new expansive two-open-doors laminoplasty for multilevel cervical spondylotic myelopathy: Technical report and follow-up results.,"Arquivos de Neuro-Psiquiatria. 72 (1) (pp 49-54), 2014. Date of Publication: 2014.",Brazil
Clinical Spine Surgery : A Spine Publication,2018,"Ross MN

Ross DA",Minimally Invasive Cervical Laminectomy for Cervical Spondylotic Myelopathy.,"Clinical Spine Surgery : A Spine Publication. 31(8):331-338, 2018 10.",United States
Clinical Spine Surgery : A Spine Publication,2018,"Koshimizu H

Sakai Y

Harada A

Ito S

Ito K

Hida T",The Impact of Sarcopenia on Cervical Spine Sagittal Alignment After Cervical Laminoplasty.,"Clinical Spine Surgery : A Spine Publication. 31(7):E342-E346, 2018 08.",Japan
Clinical Spine Surgery : A Spine Publication,2018,"Ozawa H

Aizawa T

Tateda S

Hashimoto K

Kanno H

Ishizuka M",Spinal Cord Swelling After Surgery in Cervical Spondylotic Myelopathy: Relationship With Intramedullary Gd-DTPA Enhancement on MRI.,"Clinical Spine Surgery : A Spine Publication. 31(7):E363-E367, 2018 08.",Japan
Open Spine Journal,2014,Eldin M.M.M.,Dynamic Cervical Implant (DCI) in single level cervical disc disease.,"Open Spine Journal. 6 (1) (pp 1-8), 2014. Date of Publication: 2014.",Egypt
