from,to
14524979500,23502223100
14524979500,36454813000
14524979500,57154897100
14524979500,14524979500
23502223100,36454813000
23502223100,57154897100
23502223100,23502223100
36454813000,57154897100
36454813000,36454813000
57154897100,57154897100
35272027700,36192079400
35271904600,36192079400
36192079400,7403289965
36192079400,8959871900
26026973800,36192079400
35271904600,35272027700
35272027700,7403289965
35272027700,8959871900
26026973800,35272027700
35271904600,7403289965
35271904600,8959871900
26026973800,35271904600
7403289965,8959871900
26026973800,7403289965
26026973800,8959871900
55604312100,7006832286
56189719400,7003980398
35496490800,53164383200
55828672900,56700270200
56700270200,57205707211
56700270200,6603840014
56700270200,57194471875
55828672900,57205707211
55828672900,6603840014
55828672900,57194471875
57205707211,6603840014
57194471875,57205707211
57194471875,6603840014
10540091700,57202423437
56203333800,57202423437
36016444900,57202423437
10540091700,56203333800
10540091700,36016444900
36016444900,56203333800
57044894000,57210726896
57044894000,57205709827
57044894000,57210724491
57044894000,7403366574
57205709827,57210726896
57210724491,57210726896
57210726896,7403366574
57205709827,57210724491
57205709827,7403366574
57210724491,7403366574
6603391848,7003660965
35448072700,7003796252
7003796252,7003980398
35448072700,7003980398
57206243894,7501614559
57206243894,7201517333
7201517333,7501614559
54931860200,57208660616
54931860200,55866729400
37087741600,54931860200
54931860200,55555616600
55866729400,57208660616
37087741600,57208660616
55555616600,57208660616
37087741600,55866729400
55555616600,55866729400
37087741600,55555616600
35207858400,56275613300
35207858400,8073277200
35207858400,55702248700
35207858400,7402713216
35207858400,56275471800
56275613300,8073277200
55702248700,56275613300
56275613300,7402713216
56275471800,56275613300
55702248700,8073277200
7402713216,8073277200
56275471800,8073277200
55702248700,7402713216
55702248700,56275471800
56275471800,7402713216
55673699800,56549203400
56549203400,8073277200
55673699800,8073277200
56680615700,57190295473
56680615700,7403997133
56680615700,7202870103
57190295473,7403997133
57190295473,7202870103
7202870103,7403997133
12776896400,26967671500
26967671500,56590896900
26967671500,7402387545
12776896400,56590896900
12776896400,7402387545
56590896900,7402387545
56072774900,7404921099
56072774900,56118160200
56118160200,7404921099
12776896400,56683913000
26967671500,56683913000
56590896900,56683913000
56683913000,7402387545
35207858400,57194471875
35207858400,7201486435
56275471800,57194471875
56275471800,7201486435
55702248700,57194471875
55702248700,7201486435
57194471875,7402713216
7201486435,7402713216
57194471875,8073277200
7201486435,8073277200
57194471875,7201486435
56430460800,57212622795
49964581000,57205170829
57205170829,7202444605
49964581000,7202444605
56700270200,57215943406
57194471875,57215943406
57205707211,57215943406
57199328907,57205102958
24366467300,56203333800
24366467300,7102485453
24366467300,34975067800
24366467300,57208767575
24366467300,9044180400
56203333800,7102485453
34975067800,56203333800
56203333800,57208767575
56203333800,9044180400
34975067800,7102485453
57208767575,7102485453
7102485453,9044180400
7102485453,7102485453
34975067800,57208767575
34975067800,9044180400
57208767575,9044180400
55581352300,55823816100
55581352300,7005942578
55581352300,8662634700
55581352300,56109281900
55823816100,7005942578
55823816100,8662634700
55823816100,56109281900
7005942578,8662634700
7005942578,7005942578
56109281900,7005942578
56109281900,8662634700
17036840300,23995677100
23995677100,7201732358
10539108700,23995677100
23995677100,24173525700
17036840300,7201732358
10539108700,17036840300
17036840300,24173525700
10539108700,7201732358
24173525700,7201732358
