,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,434.0,271.6405529953917,157.41437003775007,2.0,138.25,269.5,409.75,543.0
average_coauthors,434.0,6.865284058712095,2.6539584066515354,2.0,5.0,6.5,8.0,16.6666666666667
connected_countries,434.0,1.2304147465437787,0.578599338742782,1.0,1.0,1.0,1.0,5.0
connected_institutes,434.0,6.244239631336406,5.567994692341702,1.0,3.0,4.5,7.0,38.0
average_h_index_of_coauthors,434.0,20.15950757695714,13.56789644699585,0.666666666666667,9.75077639751553,16.950000000000003,27.324728260869577,72.0
average_DCM_papers_of_coauthors,434.0,6.832204821492958,3.4883391547428277,2.0,4.213450292397657,6.236940298507465,8.959558823529413,21.5
connections,434.0,8.440092165898617,6.418964108205677,2.0,4.0,7.0,10.0,45.0
connections_per_paper,434.0,2.039567737217687,1.1767537891385664,0.375,1.1863636363636352,1.8,2.5,9.5
second_order_connections,434.0,29.101382488479263,30.426283883694172,3.0,9.0,16.0,39.75,163.0
second_order_connections_per_paper,434.0,7.001244801522693,7.309064044110707,0.588235294117647,2.5,4.5,9.397727272727273,62.0
third_order_connections,434.0,68.22350230414746,66.16190722996126,3.0,9.0,29.0,127.0,258.0
third_order_connections_per_paper,434.0,17.05967087902394,20.069007383907902,0.6,3.0,9.0,22.95454545454545,99.0
betweenness,434.0,3.264512217953588,14.678297397377012,0.0,0.0,0.001,0.37553673544197774,228.22965315449
closeness,434.0,2.709837656618293,0.8880163922459158,1.65289256198347,1.67221311611119,3.46729528081659,3.47524888746158,3.48414026251789
Unnamed: 0_squared,434.0,98510.77880184332,88583.19006965327,4.0,19113.25,72630.5,167895.25,294849.0
h_index_squared,434.0,439.6705069124424,873.4156330687515,0.0,25.0,81.0,361.0,7056.0
average_coauthors_squared,434.0,54.15939117937401,46.238389012132956,4.0,25.0,42.25,64.0,277.7777777777789
connected_countries_squared,434.0,1.847926267281106,2.5861431838355737,1.0,1.0,1.0,1.0,25.0
connected_institutes_squared,434.0,69.92165898617512,156.5086406162345,1.0,9.0,20.5,49.0,1444.0
average_h_index_of_coauthors_squared,434.0,590.0693942717572,731.7518510946601,0.44444444444444486,95.07804723968985,287.32500000000005,746.64835627363,5184.0
average_DCM_papers_of_coauthors_squared,434.0,58.81949473973407,59.085292396135166,4.0,17.753189015423523,38.89959484294946,80.27369881776242,462.25
connections_squared,434.0,112.34331797235023,218.4145149396206,4.0,16.0,49.0,100.0,2025.0
connections_per_paper_squared,434.0,5.541395367946059,7.690978963043987,0.140625,1.407520661157022,3.24,6.25,90.25
second_order_connections_squared,434.0,1770.516129032258,3806.7225125123214,9.0,81.0,256.0,1580.25,26569.0
second_order_connections_per_paper_squared,434.0,102.31675284456948,322.59195767949524,0.34602076124567466,6.25,20.25,88.34865702479338,3844.0
third_order_connections_squared,434.0,9021.758064516129,12311.459937253487,9.0,81.0,841.0,16129.0,66564.0
third_order_connections_per_paper_squared,434.0,692.869397789849,1478.0902598199557,0.36,9.0,81.25,526.9173553719006,9801.0
betweenness_squared,434.0,225.61302037225306,2579.090737131303,0.0,0.0,1e-06,0.14123021281051817,52088.774579018806
closeness_squared,434.0,8.129976249384578,4.576834031770724,2.7320538214602794,2.7962967056942962,12.022136564372996,12.07735482980295,12.139233368898232
